id_interaction,id_cp_interaction,multidata_1_id,multidata_2_id,source,annotation_strategy,is_ppi,curator,directionality,classification
233,CPI-SC0F9CBA955,671,1812,CellChatDB_v1,user_curated,,NigelHo,,
234,CPI-SC0243F2680,957,1812,CellChatDB_v1,user_curated,,NigelHo,,
235,CPI-SC0763E7AF2,898,1812,CellChatDB_v1,user_curated,,NigelHo,,
236,CPI-SC0B092EF65,69,1812,CellChatDB_v1,user_curated,,NigelHo,,
237,CPI-SC0B1D0028B,70,1812,CellChatDB_v1,user_curated,,NigelHo,,
238,CPI-SC074781480,228,1814,CellChatDB_v1,user_curated,,NigelHo,,
239,CPI-SC0134D6ABC,953,1814,CellChatDB_v1,user_curated,,NigelHo,,
240,CPI-SC0F5EBA06A,1751,1814,CellChatDB_v1,user_curated,,NigelHo,,
241,CPI-SC0A27844A8,1022,1814,CellChatDB_v1,user_curated,,NigelHo,,
242,CPI-SC0A070755C,289,1814,CellChatDB_v1,user_curated,,NigelHo,,
243,CPI-SC02D16C89A,897,1814,CellChatDB_v1,user_curated,,NigelHo,,
244,CPI-SC08EAA7ADA,668,1814,CellChatDB_v1,user_curated,,NigelHo,,
245,CPI-SC010EF74F3,669,1814,CellChatDB_v1,user_curated,,NigelHo,,
246,CPI-SC0C945DA9F,670,1814,CellChatDB_v1,user_curated,,NigelHo,,
247,CPI-SC04CBB7552,1061,1814,CellChatDB_v1,user_curated,,NigelHo,,
248,CPI-SC0DFEAE26D,60,1814,CellChatDB_v1,user_curated,,NigelHo,,
249,CPI-SC0C61B7F73,671,1814,CellChatDB_v1,user_curated,,NigelHo,,
250,CPI-SC0E88C8058,957,1814,CellChatDB_v1,user_curated,,NigelHo,,
251,CPI-SC04DB219CB,898,1814,CellChatDB_v1,user_curated,,NigelHo,,
252,CPI-SC06EFA5CC2,69,1814,CellChatDB_v1,user_curated,,NigelHo,,
253,CPI-SC0FF762677,70,1814,CellChatDB_v1,user_curated,,NigelHo,,
254,CPI-SC06419700D,228,1816,CellChatDB_v1,user_curated,,NigelHo,,
255,CPI-SC0F00C86AC,953,1816,CellChatDB_v1,user_curated,,NigelHo,,
256,CPI-SC0F177A26B,1751,1816,CellChatDB_v1,user_curated,,NigelHo,,
257,CPI-SC0115378E7,1022,1816,CellChatDB_v1,user_curated,,NigelHo,,
258,CPI-SC0B3337FB4,289,1816,CellChatDB_v1,user_curated,,NigelHo,,
259,CPI-SC0DE64F872,897,1816,CellChatDB_v1,user_curated,,NigelHo,,
260,CPI-SC026062296,668,1816,CellChatDB_v1,user_curated,,NigelHo,,
261,CPI-SC0E5329148,669,1816,CellChatDB_v1,user_curated,,NigelHo,,
262,CPI-SC052C897AB,670,1816,CellChatDB_v1,user_curated,,NigelHo,,
263,CPI-SC0CBE0F4A0,1061,1816,CellChatDB_v1,user_curated,,NigelHo,,
264,CPI-SC06078DB4B,60,1816,CellChatDB_v1,user_curated,,NigelHo,,
265,CPI-SC0E74F7843,671,1816,CellChatDB_v1,user_curated,,NigelHo,,
266,CPI-SC04D905E1E,957,1816,CellChatDB_v1,user_curated,,NigelHo,,
267,CPI-SC0A41E0EEB,898,1816,CellChatDB_v1,user_curated,,NigelHo,,
268,CPI-SC02FD11A30,69,1816,CellChatDB_v1,user_curated,,NigelHo,,
269,CPI-SC0F2E04267,70,1816,CellChatDB_v1,user_curated,,NigelHo,,
270,CPI-SC062B25672,228,1818,CellChatDB_v1,user_curated,,NigelHo,,
271,CPI-SC039BEEDE4,953,1818,CellChatDB_v1,user_curated,,NigelHo,,
272,CPI-SC02B0F78A4,1751,1818,CellChatDB_v1,user_curated,,NigelHo,,
273,CPI-SC0277D6476,1022,1818,CellChatDB_v1,user_curated,,NigelHo,,
274,CPI-SC0B4E996CD,289,1818,CellChatDB_v1,user_curated,,NigelHo,,
275,CPI-SC0DBD2C78A,897,1818,CellChatDB_v1,user_curated,,NigelHo,,
276,CPI-SC0596FD9F6,668,1818,CellChatDB_v1,user_curated,,NigelHo,,
277,CPI-SC0889E4F05,669,1818,CellChatDB_v1,user_curated,,NigelHo,,
278,CPI-SC07D38F0B5,670,1818,CellChatDB_v1,user_curated,,NigelHo,,
279,CPI-SC0185A7BDE,1061,1818,CellChatDB_v1,user_curated,,NigelHo,,
