id_multidata,name,receptor,receptor_desc,other,other_desc,secreted_highlight,secreted_desc,transmembrane,secreted,peripheral,integrin,is_complex
1334,M5A8F1,False,,True,retrovirus,False,,False,True,False,False,False
1335,O15197,True,,True,,False,,True,True,False,False,False
1336,P17693,True,,True,,False,,True,False,False,False,False
1337,P19835,False,,True,,False,,False,True,False,False,False
1338,P25063,False,,True,cancer antigen,False,,True,False,False,False,False
1339,P25106,True,Atipical_chemokine_receptor_add,True,CoReceptor_Acts as coreceptor with CXCR4 for a restricted number of HIV isolates (uniprot),False,,True,False,False,False,False
1340,P25940,False,,True,Collagen,False,,False,True,False,False,False
1341,P26006,True,,True,Integrin,False,,True,False,False,False,False
1342,P26927,False,,True,,False,,False,True,False,False,False
1343,P27658,False,,True,Collagen,False,,False,True,False,False,False
1344,P29400,False,,True,Collagen,False,,False,True,False,False,False
1345,P30511,False,,True,HLA,False,,True,False,False,False,False
1346,P33151,False,,True,Cadherin,False,,True,False,False,False,False
1347,P39059,False,,True,Collagen,False,,False,True,False,False,False
1348,P39060,False,,True,Collagen,False,,False,True,False,False,False
1349,Q30201,False,,True,HLA,False,,True,False,False,False,False
1350,Q6ZMC9,False,,True,Sialic acid-binding Ig-like,False,,True,False,False,False,False
1351,Q8IVG9,False,,True,,False,,False,True,False,False,False
1352,Q96LC7,False,,True,Sialic acid-binding Ig-like,False,,True,True,False,False,False
1353,Q9BZZ2,False,,True,Sialic acid-binding Ig-like,False,,True,True,False,False,False
1354,Q9NR97,True,,True,microbe recognition,False,,True,False,False,False,False
1355,Q9H222,,,,,,,,,,,False
1356,Q9H221,,,,,,,,,,,False
1357,O43184,,,,,,,,,,,False
1358,O95841,,,,,,,,,,,False
1359,Q9UKU9,,,,,,,,,,,False
1360,Q9Y5C1,,,,,,,,,,,False
1361,Q9BY76,,,,,,,,,,,False
1362,O43827,,,,,,,,,,,False
1363,Q96BI3,,,,,,,,,,,False
1364,Q8WW43,,,,,,,,,,,False
1365,O60312,,,,,,,,,,,False
1366,P98196,,,,,,,,,,,False
1367,Q8NB49,,,,,,,,,,,False
1368,P54707,,,,,,,,,,,False
1369,P05026,,,,,,,,,,,False
1370,Q9Y2Q0,,,,,,,,,,,False
1371,Q9NTI2,,,,,,,,,,,False
1372,O43520,,,,,,,,,,,False
1373,P98198,,,,,,,,,,,False
1374,Q8TF62,,,,,,,,,,,False
1375,P34820,,,,,,,,,,,False
1376,Q10588,,,,,,,,,,,False
1377,O00481,,,,,,,,,,,False
1378,P78410,,,,,,,,,,,False
1379,Q01518,,,,,,,,,,,False
1380,Q96A33,,,,,,,,,,,False
1381,Q99467,,,,,,,,,,,False
1382,P06126,,,,,,,,,,,False
1383,P29017,,,,,,,,,,,False
1384,P20963,,,,,,,,,,,False
1385,Q08708,,,,,,,,,,,False
1386,Q496F6,,,,,,,,,,,False
1387,A8K4G0,,,,,,,,,,,False
1388,Q6UXZ3,,,,,,,,,,,False
1389,Q8TDQ1,,,,,,,,,,,False
1390,P20138,,,,,,,,,,,False
